Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"091-0421",5U : Urban Major Collector,32.187768,-83.171636,2023,1300,Estimated,38,2,0.086,0,0.0987,0.5,1640,Short Term
"091-0423",5U : Urban Major Collector,32.188648,-83.171434,2023,400,Estimated,9,0,0.265,0,0.1248,0.57,500,Short Term
"091-0427",5U : Urban Major Collector,32.196492,-83.174889,2023,120,Actual,1,1,0,0,0.1518,1,150,Short Term
"091-0429",5U : Urban Major Collector,32.197705,-83.175535,2023,510,Estimated,,,,,0.1688,1,640,Short Term
"091-0432",5U : Urban Major Collector,32.194659,-83.174754,2023,2950,Estimated,,,,,0.0941,0.6,3720,Short Term
"091-0434",7U : Urban Local,32.196291,-83.175089,2023,700,Actual,,,,,0.1382,0.55,880,Short Term
"091-0438",5U : Urban Major Collector,32.199861,-83.177690,2023,830,Actual,,,,,0.1077,0.57,1200,Short Term
"091-0441",5U : Urban Major Collector,32.201558,-83.179115,2023,770,Actual,15,2,0.522,0,0.0914,0.5,970,Short Term
"091-0443",5U : Urban Major Collector,32.206124,-83.183849,2023,580,Estimated,18,2,0.388,0,0.097,0.54,730,Short Term
"091-0445",3U : Urban Principal Arterial - Other,32.183707,-83.196736,2023,2230,Estimated,105,181,0.323,0.369,0.0917,1,2810,Short Term
"091-0447",3U : Urban Principal Arterial - Other,32.176192,-83.171370,2023,4150,Actual,135,275,0.289,0.362,0.0888,0.53,5320,Short Term
"091-0467",6R : Rural Minor Collector,32.316100,-83.153900,2023,40,Estimated,,,,,,,50,Short Term
"091-0471",7R : Rural Local,32.360080,-83.186524,2023,120,Actual,,,,,0.1572,0.55,180,Short Term
"091-0473",5R : Rural Major Collector,32.365349,-83.215586,2023,80,Estimated,,,,,,,120,Short Term
"091-0475",6U : Urban Minor Collector,32.190738,-83.179436,2023,1030,Estimated,137,0,2.665,0,0.1087,0.54,1900,Short Term
"091-7181",5R : Rural Major Collector,32.398054,-83.154705,2023,1970,Estimated,80,125,0.415,0.415,0.0961,0.54,3330,Short Term
"091-7182",5U : Urban Major Collector,32.193856,-83.175972,2023,640,Estimated,,,,,0.0871,0.8,1340,Short Term
"091-8011",7R : Rural Local,32.197990,-83.245521,2023,30,Estimated,,,,,0.29,0.5,40,Short Term
"091-8015",7U : Urban Local,32.226337,-83.203823,2023,170,Estimated,,,,,0.1275,0.52,210,Short Term
"091-8017",7U : Urban Local,32.228736,-83.206562,2023,230,Estimated,,,,,0.1337,0.8,290,Short Term
"091-8023",7R : Rural Local,32.190366,-83.066974,2023,40,Estimated,,,,,,,50,Short Term
"091-8035",7U : Urban Local,32.193606,-83.186847,2023,170,Estimated,,,,,0.1474,0.58,210,Short Term
"091-8037",7U : Urban Local,32.203085,-83.181874,2023,110,Estimated,6,0,0.92,0,0.1471,0.63,140,Short Term
"091-8041",7U : Urban Local,32.186281,-83.175487,2023,2090,Estimated,,,,,0.1137,0.5,2630,Short Term
"091-8043",7U : Urban Local,32.187341,-83.188758,2023,220,Estimated,,,,,0.1496,0.8,280,Short Term
"091-8047",7U : Urban Local,32.176911,-83.165917,2023,610,Estimated,52,8,1.093,0,0.1129,0.5,770,Short Term
