Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"001-0101",3U : Urban Principal Arterial - Other,31.715363,-82.381788,2023,4720,Estimated,377,406,0.937,0.349,0.0795,0.55,8490,Short Term
"001-0105",3U : Urban Principal Arterial - Other,31.767430,-82.353490,2023,12600,Estimated,562,1493,0.227,0.672,0.0832,0.53,23900,Short Term
"001-0107",3U : Urban Principal Arterial - Other,31.773846,-82.350339,2023,16100,Estimated,922,1443,0.492,0.243,0.0812,0.51,24000,Short Term
"001-0109",3U : Urban Principal Arterial - Other,31.779416,-82.348327,2023,11800,Actual,871,740,0.482,0.364,0.0914,0.51,17500,Short Term
"001-0112",3U : Urban Principal Arterial - Other,31.786264,-82.350183,2023,8460,Estimated,460,568,0.047,0.067,0.0841,0.51,10700,Short Term
"001-0114",3U : Urban Principal Arterial - Other,31.836979,-82.350421,2023,5620,Estimated,345,612,0.311,0.331,0.0817,0.62,7080,Short Term
"001-0118",3R : Rural Principal Arterial - Other,31.909228,-82.356139,2023,6050,Estimated,403,669,0.391,0.697,0.0832,0.52,7620,Short Term
"001-0121",4R : Rural Minor Arterial,31.545377,-82.207377,2023,2170,Estimated,,,,,0.0948,0.51,3160,Short Term
"001-0123",4R : Rural Minor Arterial,31.619640,-82.256298,2023,1740,Actual,197,251,0.744,0.744,0.1188,0.57,2190,Short Term
"001-0125",4U : Urban Minor Arterial,31.681809,-82.302278,2023,2330,Estimated,235,298,0.492,0.861,0.0889,0.54,3170,Short Term
"001-0127",4U : Urban Minor Arterial,31.715192,-82.333471,2023,3450,Estimated,240,296,0.716,0.298,0.1029,0.66,4460,Short Term
"001-0129",4U : Urban Minor Arterial,31.754227,-82.351713,2023,5130,Estimated,260,254,0.3,0.364,0.0904,0.59,6460,Short Term
"001-0132",4U : Urban Minor Arterial,31.762394,-82.354235,2023,7850,Estimated,434,272,0.708,0.21,0.1278,0.54,9890,Short Term
"001-0133",4R : Rural Minor Arterial,31.713413,-82.520596,2023,1990,Estimated,175,353,1.074,0.972,0.0905,0.54,2900,Short Term
"001-0134",4R : Rural Minor Arterial,31.747514,-82.544050,2023,1940,Estimated,179,353,0.531,1.01,0.0792,0.58,3650,Short Term
"001-0136",3R : Rural Principal Arterial - Other,31.834715,-82.509436,2023,6810,Estimated,432,1092,0.359,0.718,0.0916,0.53,11800,Short Term
"001-0138",3U : Urban Principal Arterial - Other,31.811259,-82.442870,2023,7780,Estimated,466,1296,0.476,0.688,0.0822,0.59,11900,Short Term
"001-0141",3U : Urban Principal Arterial - Other,31.780828,-82.355952,2023,14800,Estimated,726,1016,0.462,0.428,0.097,0.5,22900,Short Term
"001-0143",3U : Urban Principal Arterial - Other,31.775727,-82.340071,2023,11200,Estimated,856,389,0.065,0.035,0.086,0.51,15500,Short Term
"001-0145",3U : Urban Principal Arterial - Other,31.745106,-82.253012,2023,5430,Estimated,332,1119,0.482,0.983,0.085,0.54,9470,Short Term
"001-0152",3R : Rural Principal Arterial - Other,31.723267,-82.186845,2023,5490,Estimated,297,1410,0.3,0.994,0.0763,0.54,8780,Short Term
"001-0156",5R : Rural Major Collector,31.591762,-82.272027,2023,900,Estimated,72,89,0.227,0.682,0.0943,0.58,1130,Short Term
"001-0158",5R : Rural Major Collector,31.589284,-82.218167,2023,960,Estimated,57,145,0.526,1.682,0.0873,0.53,1210,Short Term
"001-0161",5R : Rural Major Collector,31.590903,-82.179122,2023,1100,Estimated,91,116,0.653,0.28,0.084,0.51,1540,Short Term
"001-0163",4R : Rural Minor Arterial,31.577552,-82.208543,2023,530,Estimated,58,138,1.239,1.363,0.1108,0.71,670,Short Term
"001-0165",4R : Rural Minor Arterial,31.659805,-82.207853,2023,1250,Estimated,89,263,0.493,1.888,0.0829,0.53,1670,Short Term
"001-0169",4R : Rural Minor Arterial,31.726543,-82.196423,2023,1390,Estimated,123,265,0.367,0.807,0.0917,0.54,1850,Short Term
"001-0170",4R : Rural Minor Arterial,31.776909,-82.155205,2023,1250,Actual,109,257,0.996,1.328,0.0996,0.57,2260,Short Term
"001-0172",4R : Rural Minor Arterial,31.848848,-82.098418,2023,3990,Estimated,429,738,0.818,1.124,0.082,0.54,7100,Short Term
"001-0174",5U : Urban Major Collector,31.784200,-82.345930,2023,3280,Estimated,,,,,0.1005,0.6,4210,Short Term
"001-0176",5U : Urban Major Collector,31.788694,-82.328623,2023,3370,Actual,,,,,0.0835,0.55,6140,Short Term
"001-0178",4R : Rural Minor Arterial,31.795076,-82.280414,2023,3200,Estimated,215,388,0.482,0.579,0.0859,0.51,6130,Short Term
"001-0181",4R : Rural Minor Arterial,31.837396,-82.132140,2023,1950,Estimated,393,222,1.982,0.417,0.084,0.62,2460,Short Term
"001-0183",4R : Rural Minor Arterial,31.831560,-82.086470,2023,1160,Actual,57,166,0.258,0.602,0.1135,0.52,1830,CCS
"001-0185",5R : Rural Major Collector,31.602850,-82.308160,2023,350,Actual,10,10,0.576,0.576,0.1324,0.59,440,CCS
"001-0187",5U : Urban Major Collector,31.683151,-82.332266,2023,680,Estimated,98,33,0.601,0.451,0.1037,0.58,860,Short Term
"001-0189",5U : Urban Major Collector,31.715164,-82.359191,2023,1170,Estimated,66,34,0.448,0.09,0.1085,0.59,1580,Short Term
"001-0194",5U : Urban Major Collector,31.759535,-82.369756,2023,1850,Estimated,114,34,0.443,0.222,0.1541,0.56,2330,Short Term
"001-0196",5U : Urban Major Collector,31.769117,-82.356611,2023,2310,Actual,,,,,0.1041,0.56,4090,Short Term
"001-0198",5R : Rural Major Collector,31.733840,-82.520498,2023,270,Estimated,,,,,,,340,Short Term
"001-0201",5R : Rural Major Collector,31.765595,-82.517033,2023,210,Estimated,,,,,,,260,Short Term
"001-0203",5R : Rural Major Collector,31.820531,-82.507151,2023,550,Estimated,70,25,1.301,0.186,0.1059,0.54,790,Short Term
"001-0205",5R : Rural Major Collector,31.747649,-82.533079,2023,720,Estimated,,,,,0.0945,0.63,1290,Short Term
"001-0207",5R : Rural Major Collector,31.749789,-82.489680,2023,280,Estimated,,,,,,,350,Short Term
"001-0209",5U : Urban Major Collector,31.770285,-82.419928,2023,1230,Estimated,87,128,0.773,0.601,0.0988,0.8,1810,Short Term
"001-0212",5U : Urban Major Collector,31.777539,-82.355672,2023,3830,Estimated,,,,,0.0933,0.54,5090,Short Term
"001-0214",5R : Rural Major Collector,31.867804,-82.400627,2023,750,Estimated,,,,,0.1113,0.6,950,Short Term
"001-0216",5R : Rural Major Collector,31.872260,-82.315478,2023,660,Estimated,,,,,0.1207,0.57,830,Short Term
"001-0218",5U : Urban Major Collector,31.810851,-82.308793,2023,1240,Estimated,69,31,0.631,0.451,0.1009,0.71,1560,Short Term
"001-0221",5R : Rural Major Collector,31.879089,-82.189855,2023,630,Actual,48,22,0.158,0.473,0.1103,0.54,790,Short Term
"001-0223",5R : Rural Major Collector,31.544223,-82.175085,2023,450,Estimated,,,,,0.0902,0.67,900,Short Term
"001-0225",5R : Rural Major Collector,31.509902,-82.144589,2023,250,Estimated,,,,,,,320,Short Term
"001-0229",6U : Urban Minor Collector,31.851476,-82.405537,2023,710,Estimated,,,,,0.1114,0.68,890,Short Term
"001-0232",6R : Rural Minor Collector,31.646052,-82.243373,2023,210,Estimated,,,,,,,330,Short Term
"001-0234",6U : Urban Minor Collector,31.748296,-82.360228,2023,1220,Estimated,102,17,1.098,0,0.1191,0.51,2080,Short Term
"001-0236",6U : Urban Minor Collector,31.752800,-82.373027,2023,520,Estimated,61,7,0.783,0,0.1546,0.52,660,Short Term
"001-0238",5U : Urban Major Collector,31.767853,-82.345218,2023,850,Estimated,28,2,0.482,0,0.0965,0.55,1070,Short Term
"001-0241",5U : Urban Major Collector,31.750177,-82.347202,2023,1000,Estimated,,,,,0.1228,0.59,1670,Short Term
"001-7001",5R : Rural Major Collector,31.711624,-82.520001,2023,560,Estimated,,,,,0.1153,0.54,740,Short Term
"001-8005",6R : Rural Minor Collector,31.725880,-82.517320,2023,260,Estimated,,,,,0.1236,0.8,370,Short Term
"001-8011",7R : Rural Local,31.697442,-82.368818,2023,160,Estimated,13,4,1.305,0,0.1435,0.59,210,Short Term
"001-8027",6R : Rural Minor Collector,31.803200,-82.156700,2023,80,Estimated,,,,,,,100,Short Term
"001-8031",7R : Rural Local,31.891501,-82.181727,2023,200,Estimated,,,,,0.1274,0.52,320,Short Term
"001-8045",7R : Rural Local,31.800750,-82.490337,2023,350,Estimated,19,16,0,0.614,0.1197,0.62,450,Short Term
"001-8046",6R : Rural Minor Collector,31.725088,-82.502729,2023,280,Estimated,15,14,0.053,0.05,0.1114,0.55,350,Short Term
"001-8047",6U : Urban Minor Collector,31.756368,-82.380572,2023,1430,Estimated,105,37,1.481,0.156,0.1045,0.57,1800,Short Term
"001-8048",6U : Urban Minor Collector,31.733697,-82.414303,2023,1110,Estimated,116,61,0.664,0.474,0.1118,0.66,1400,Short Term
"001-8049",6R : Rural Minor Collector,31.720943,-82.457403,2023,480,Estimated,47,56,2.137,0.427,0.1047,0.8,600,Short Term
"001-8050",6U : Urban Minor Collector,31.787063,-82.388107,2023,390,Estimated,16,7,0.286,0.286,0.123,0.6,1010,Short Term
"001-8052",6R : Rural Minor Collector,31.672191,-82.314332,2023,70,Estimated,1,3,0,0,0.1987,0.69,90,Short Term
"001-8056",7U : Urban Local,31.754099,-82.318883,2023,60,Estimated,4,1,0,1.809,0.2352,0.85,80,Short Term
"001-8060",7R : Rural Local,31.848049,-82.187776,2023,30,Estimated,,,,,,,40,Short Term
"001-8061",7R : Rural Local,31.829456,-82.198826,2023,130,Actual,5,8,0,0,0.1197,0.63,200,Short Term
"001-8062",7R : Rural Local,31.855636,-82.197006,2023,120,Actual,12,2,1.633,0,0.1796,0.55,220,Short Term
"001-8063",6R : Rural Minor Collector,31.861420,-82.335041,2023,440,Estimated,24,6,0.731,0,0.1023,0.52,780,Short Term
"001-8064",6U : Urban Minor Collector,31.734077,-82.302127,2023,410,Estimated,21,7,0.546,0.273,0.1202,0.82,520,Short Term
"001-8065",6R : Rural Minor Collector,31.704023,-82.277612,2023,380,Estimated,,,,,,,490,Short Term
"001-8066",6R : Rural Minor Collector,31.693335,-82.447194,2023,230,Estimated,26,8,0.473,0.947,0.1089,0.7,290,Short Term
"001-8067",6R : Rural Minor Collector,31.838027,-82.326396,2023,540,Estimated,30,48,0,1.341,0.09,0.8,690,Short Term
"001-8068",6R : Rural Minor Collector,31.869364,-82.308040,2023,460,Estimated,14,5,0,0.234,0.1029,0.68,640,Short Term
"003-0101",4R : Rural Minor Arterial,31.202334,-82.914020,2023,2330,Estimated,,,,,0.091,0.57,3940,Short Term
"003-0105",4R : Rural Minor Arterial,31.255679,-82.870097,2023,2390,Estimated,180,425,0.689,1.336,0.0974,0.52,3850,Short Term
"003-0107",3R : Rural Principal Arterial - Other,31.273332,-82.860218,2023,4890,Estimated,287,479,0.354,0.5,0.0963,0.53,9110,Short Term
"003-0109",3R : Rural Principal Arterial - Other,31.295028,-82.853235,2023,5320,Estimated,335,564,0.406,0.638,0.0828,0.53,6700,Short Term
"003-0112",3R : Rural Principal Arterial - Other,31.311360,-82.848464,2023,7660,Estimated,458,508,0.784,0.319,0.1163,0.59,12600,Short Term
"003-0114",3R : Rural Principal Arterial - Other,31.356018,-82.841115,2023,6470,Estimated,301,670,0.414,0.668,0.0881,0.53,8900,Short Term
"003-0118",3R : Rural Principal Arterial - Other,31.349296,-83.073796,2023,4570,Estimated,362,1400,0.401,2.027,0.092,0.53,6510,Short Term
"003-0121",3R : Rural Principal Arterial - Other,31.341420,-83.048892,2023,5510,Estimated,347,1118,0.597,1.736,0.0997,0.5,6940,Short Term
"003-0123",3R : Rural Principal Arterial - Other,31.339238,-83.041636,2023,8610,Estimated,592,1375,0.509,0.935,0.084,0.53,13900,Short Term
"003-0125",3R : Rural Principal Arterial - Other,31.320758,-82.977650,2023,4410,Estimated,362,1155,0.42,1.562,0.0886,0.57,5560,Short Term
"003-0132",3R : Rural Principal Arterial - Other,31.307110,-82.901540,2023,4780,Actual,192,885,0.397,1.171,0.1014,0.53,6020,CCS
"003-0134",3R : Rural Principal Arterial - Other,31.299563,-82.862391,2023,5580,Estimated,471,1040,0.694,0.913,0.0908,0.55,8550,Short Term
"003-0136",3R : Rural Principal Arterial - Other,31.297249,-82.847887,2023,5390,Estimated,415,1036,0.516,1.222,0.0676,0.51,7710,Short Term
"003-0138",3R : Rural Principal Arterial - Other,31.295450,-82.837710,2023,4530,Actual,254,958,0.486,1.346,0.0987,0.54,5710,CCS
"003-0141",3R : Rural Principal Arterial - Other,31.281753,-82.763241,2023,4410,Estimated,305,1178,0.393,1.571,0.0836,0.58,6290,Short Term
"003-0143",3R : Rural Principal Arterial - Other,31.272662,-82.708114,2023,4250,Estimated,283,1037,0.435,1.21,0.0888,0.53,5360,Short Term
"003-0145",5R : Rural Major Collector,31.201093,-82.928882,2023,130,Estimated,10,8,0.766,0,0.1455,0.68,230,Short Term
"003-0147",5R : Rural Major Collector,31.303669,-82.842495,2023,770,Estimated,30,28,0.8,0.133,0.1146,0.62,970,Short Term
"003-0152",5R : Rural Major Collector,31.348075,-82.765025,2023,940,Actual,67,59,0.863,0.54,0.1194,0.62,1740,Short Term
"003-0154",3R : Rural Principal Arterial - Other,31.240779,-82.858338,2023,1540,Estimated,112,198,0.801,1.068,0.0928,0.64,2250,Short Term
"003-0158",5R : Rural Major Collector,31.343127,-83.047374,2023,1140,Estimated,85,145,0.811,0.991,0.0973,0.62,1760,Short Term
"003-0161",5R : Rural Major Collector,31.361063,-83.064522,2023,590,Estimated,57,81,0.522,0.522,0.1184,0.72,840,Short Term
"003-0165",4R : Rural Minor Arterial,31.312787,-83.046642,2023,2300,Actual,158,396,0.685,0.685,0.0962,0.53,3710,Short Term
"003-0167",4R : Rural Minor Arterial,31.338330,-83.047723,2023,3510,Estimated,291,444,0.813,0.552,0.0918,0.52,4860,Short Term
"003-0169",4R : Rural Minor Arterial,31.341867,-83.029521,2023,2320,Actual,210,295,0.744,0.521,0.0939,0.54,3540,Short Term
"003-0176",5R : Rural Major Collector,31.356321,-83.050827,2023,460,Actual,,,,,0.1111,0.63,580,Short Term
"003-0181",5R : Rural Major Collector,31.302398,-82.853360,2023,1430,Estimated,,,,,0.1602,0.56,2350,Short Term
"003-0183",5R : Rural Major Collector,31.356508,-82.883628,2023,700,Estimated,,,,,0.1017,0.66,1450,Short Term
"003-0189",5R : Rural Major Collector,31.362945,-82.709193,2023,330,Actual,29,23,1.026,0.769,0.1176,0.64,560,Short Term
"003-0194",5R : Rural Major Collector,31.315886,-82.691613,2023,290,Estimated,23,18,1.039,1.039,0.1074,0.61,520,Short Term
"003-0196",5R : Rural Major Collector,31.266106,-82.729122,2023,240,Estimated,,,,,0.1895,0.54,300,Short Term
"003-0198",7R : Rural Local,31.276015,-82.734385,2023,460,Estimated,,,,,0.1035,0.8,690,Short Term
"003-0201",5R : Rural Major Collector,31.283740,-82.735446,2023,440,Estimated,,,,,0.1204,0.56,570,Short Term
"003-0203",6R : Rural Minor Collector,31.231017,-82.788953,2023,250,Estimated,,,,,0.1328,0.62,320,Short Term
"003-0205",6R : Rural Minor Collector,31.296025,-82.849535,2023,2120,Actual,,,,,0.1216,0.63,3050,Short Term
"003-0207",6R : Rural Minor Collector,31.294421,-82.858059,2023,480,Actual,,,,,0.1074,0.64,660,Short Term
"003-8011",7R : Rural Local,31.365869,-82.993572,2023,140,Estimated,,,,,,,180,Short Term
"003-8019",7R : Rural Local,31.305605,-82.848901,2023,560,Actual,,,,,0.1212,0.58,710,Short Term
"003-8020",7R : Rural Local,31.261191,-82.843619,2023,190,Estimated,31,7,1.105,0,0.1215,0.8,240,Short Term
"003-8021",6R : Rural Minor Collector,31.311774,-83.031702,2023,180,Estimated,,,,,,,260,Short Term
"003-8022",7R : Rural Local,31.346860,-82.983861,2023,160,Estimated,10,5,0.057,0.028,0.1148,0.58,250,Short Term
"003-8023",6R : Rural Minor Collector,31.343707,-82.947219,2023,130,Estimated,,,,,,,180,Short Term
"003-8024",6R : Rural Minor Collector,31.362198,-82.943670,2023,130,Estimated,,,,,,,160,Short Term
"003-8025",6R : Rural Minor Collector,31.391741,-82.932916,2023,310,Estimated,22,7,1.347,0,0.1818,0.8,800,Short Term
"003-8026",7R : Rural Local,31.343800,-83.038678,2023,430,Estimated,,,,,,,540,Short Term
"003-8027",7R : Rural Local,31.380193,-83.040235,2023,420,Estimated,,,,,,,530,Short Term
"003-8028",7R : Rural Local,31.263540,-82.780405,2023,160,Estimated,,,,,,,200,Short Term
"003-8029",7R : Rural Local,31.364461,-82.864595,2023,80,Estimated,0,3,0,0,0.12,0.8,210,Short Term
"003-8030",7R : Rural Local,31.256839,-82.801681,2023,30,Estimated,,,,,,,50,Short Term
"003-8031",7R : Rural Local,31.234465,-82.967220,2023,120,Estimated,24,,,,0.1722,0.57,200,Short Term
"003-8034",7R : Rural Local,31.347391,-82.732209,2023,80,Estimated,6,0,2.439,0,0.1341,0.8,190,Short Term
"003-8035",7R : Rural Local,31.393085,-82.865659,2023,50,Estimated,,,,,,,60,Short Term
"003-8036",6R : Rural Minor Collector,31.335748,-82.830526,2023,510,Estimated,36,14,0.069,0.026,0.1213,0.75,1040,Short Term
"003-8037",7R : Rural Local,31.318325,-82.908633,2023,360,Estimated,10,7,0.286,0.286,0.1171,0.8,490,Short Term
"003-8038",7R : Rural Local,31.341865,-82.909325,2023,290,Estimated,,,,,,,400,Short Term
"003-8039",7R : Rural Local,31.362782,-82.897576,2023,260,Estimated,32,3,0.114,0.01,0.1118,0.8,390,Short Term
"005-0101",3R : Rural Principal Arterial - Other,31.444518,-82.433743,2023,4390,Estimated,379,569,0.673,0.488,0.0854,0.51,5880,Short Term
"005-0105",3R : Rural Principal Arterial - Other,31.483352,-82.452706,2023,5400,Actual,438,658,0.611,0.815,0.0969,0.5,6800,Short Term
"005-0109",3R : Rural Principal Arterial - Other,31.524590,-82.462730,2023,7660,Estimated,501,637,0.484,0.416,0.1026,0.62,11700,Short Term
"005-0112",3R : Rural Principal Arterial - Other,31.536617,-82.463274,2023,9860,Actual,904,506,0.781,0.264,0.0847,0.52,19400,Short Term
"005-0114",3R : Rural Principal Arterial - Other,31.540948,-82.462379,2023,10500,Estimated,592,640,0.364,0.413,0.0782,0.5,13200,Short Term
"005-0116",3R : Rural Principal Arterial - Other,31.544415,-82.461681,2023,7670,Estimated,591,739,0.704,0.345,0.0843,0.51,10900,Short Term
"005-0118",3R : Rural Principal Arterial - Other,31.553019,-82.465263,2023,7010,Estimated,498,793,0.91,0.631,0.1013,0.54,10100,Short Term
"005-0120",3R : Rural Principal Arterial - Other,31.559585,-82.467021,2023,6960,Estimated,625,782,0.776,0.381,0.087,0.54,10600,Short Term
"005-0123",3R : Rural Principal Arterial - Other,31.578576,-82.461771,2023,6840,Estimated,465,602,0.527,0.376,0.0849,0.56,10400,Short Term
"005-0125",3R : Rural Principal Arterial - Other,31.608610,-82.461860,2023,5610,Actual,276,794,0.482,1.267,0.0967,0.52,7790,CCS
"005-0127",4R : Rural Minor Arterial,31.641151,-82.469024,2023,2220,Estimated,179,371,0.78,1.01,0.0936,0.55,3050,Short Term
"005-0129",4R : Rural Minor Arterial,31.689483,-82.504138,2023,1930,Estimated,171,401,0.64,1.226,0.0799,0.6,2430,Short Term
"005-0134",5R : Rural Major Collector,31.489974,-82.547536,2023,390,Estimated,27,13,0.264,0.528,0.1109,0.64,490,Short Term
"005-0136",5R : Rural Major Collector,31.518627,-82.491043,2023,1210,Estimated,69,14,0.6,0.172,0.0926,,1520,Short Term
"005-0138",5R : Rural Major Collector,31.538201,-82.469453,2023,1170,Estimated,,,,,0.1043,0.54,1470,Short Term
"005-0141",5R : Rural Major Collector,31.541280,-82.468858,2023,1770,Actual,94,14,0.566,0,0.112,0.56,2230,Short Term
"005-0143",4R : Rural Minor Arterial,31.541002,-82.564691,2023,4650,Estimated,325,562,0.416,0.525,0.0926,0.52,6620,Short Term
"005-0145",4R : Rural Minor Arterial,31.544371,-82.524194,2023,6770,Estimated,486,626,0.578,0.487,0.0889,0.6,9910,Short Term
"005-0147",4R : Rural Minor Arterial,31.543063,-82.480784,2023,8180,Estimated,577,612,0.585,0.498,0.0871,0.58,12200,Short Term
"005-0149",5R : Rural Major Collector,31.541479,-82.463410,2023,2400,Estimated,85,22,0.427,0.085,0.1154,0.52,3160,Short Term
"005-0152",4R : Rural Minor Arterial,31.540735,-82.473126,2023,7110,Estimated,525,531,0.652,0.362,0.0808,0.66,8960,Short Term
"005-0154",4R : Rural Minor Arterial,31.539545,-82.464845,2023,4900,Estimated,315,394,0.333,0.811,0.0834,0.53,6170,Short Term
"005-0156",4R : Rural Minor Arterial,31.539861,-82.443723,2023,7510,Estimated,490,534,0.521,0.37,0.1013,0.51,9460,Short Term
"005-0158",4R : Rural Minor Arterial,31.544907,-82.417881,2023,4820,Estimated,394,390,0.824,0.613,0.1037,0.73,6070,Short Term
"005-0161",4R : Rural Minor Arterial,31.544512,-82.383247,2023,3950,Estimated,351,518,0.443,0.937,0.0914,0.55,6540,Short Term
"005-0163",4R : Rural Minor Arterial,31.525785,-82.357612,2023,1150,Estimated,123,230,0.798,1.772,0.0842,0.56,1450,Short Term
"005-0167",4R : Rural Minor Arterial,31.499650,-82.304584,2023,1420,Estimated,100,314,0.797,0.652,0.0862,0.56,2430,Short Term
"005-0169",5R : Rural Major Collector,31.560817,-82.536626,2023,810,Actual,,,,,0.1161,0.68,1360,Short Term
"005-0175",5R : Rural Major Collector,31.623116,-82.565189,2023,360,Estimated,32,14,1.687,0.843,0.1265,0.51,450,Short Term
"005-0179",5R : Rural Major Collector,31.547233,-82.463785,2023,1150,Estimated,,,,,0.1199,0.8,1450,Short Term
"005-0182",5R : Rural Major Collector,31.547298,-82.475520,2023,1130,Estimated,,,,,0.1089,0.72,1420,Short Term
"005-0184",5R : Rural Major Collector,31.574704,-82.506075,2023,1340,Estimated,,,,,0.1095,0.61,1690,Short Term
"005-0188",5R : Rural Major Collector,31.602671,-82.533078,2023,650,Estimated,,,,,0.1303,0.8,820,Short Term
"005-0192",5R : Rural Major Collector,31.613510,-82.518810,2023,540,Estimated,,,,,,,740,Short Term
"005-0195",5R : Rural Major Collector,31.630655,-82.522506,2023,360,Actual,,,,,0.1255,0.67,760,Short Term
"005-0200",5R : Rural Major Collector,31.707598,-82.520452,2023,490,Estimated,,,,,,,620,Short Term
"005-0202",3R : Rural Principal Arterial - Other,31.637173,-82.451838,2023,4210,Estimated,347,501,0.532,0.604,0.0899,0.54,5300,Short Term
"005-0204",3R : Rural Principal Arterial - Other,31.645998,-82.444404,2023,4270,Estimated,351,527,0.53,0.434,0.0882,0.51,7470,Short Term
"005-0206",5R : Rural Major Collector,31.542581,-82.438290,2023,970,Estimated,,,,,0.1033,0.52,1220,Short Term
"005-0208",5R : Rural Major Collector,31.557280,-82.441242,2023,760,Actual,,,,,0.1228,0.74,960,Short Term
"005-0210",5R : Rural Major Collector,31.573428,-82.423412,2023,570,Estimated,,,,,0.0958,0.61,900,Short Term
"005-0213",5R : Rural Major Collector,31.601221,-82.393127,2023,610,Estimated,,,,,0.1171,0.52,770,Short Term
"005-0215",5R : Rural Major Collector,31.620664,-82.374815,2023,430,Estimated,19,14,0.728,0.728,0.1117,0.8,540,Short Term
"005-0217",5R : Rural Major Collector,31.543534,-82.343268,2023,510,Estimated,49,14,1.267,0.422,0.076,0.61,650,Short Term
"005-0219",5R : Rural Major Collector,31.536271,-82.278400,2023,320,Actual,,,,,0.1268,0.57,400,Short Term
"005-0221",6R : Rural Minor Collector,31.497951,-82.366933,2023,120,Actual,9,3,1.641,0,0.1559,0.53,150,Short Term
"005-0223",6R : Rural Minor Collector,31.534300,-82.413900,2023,620,Estimated,,,,,0.108,0.66,780,Short Term
"005-0226",5R : Rural Major Collector,31.482336,-82.354995,2023,610,Estimated,60,56,0.771,0.462,0.1114,0.54,770,Short Term
"005-0228",5R : Rural Major Collector,31.495022,-82.363130,2023,840,Actual,78,85,1.188,0.713,0.1259,0.53,1250,Short Term
"005-0230",5R : Rural Major Collector,31.522556,-82.367623,2023,730,Actual,75,70,1.238,0.413,0.1018,0.65,1150,Short Term
"005-0231",5R : Rural Major Collector,31.565235,-82.339173,2023,1200,Actual,88,105,0.589,0.421,0.1077,0.65,1510,Short Term
"005-0234",5R : Rural Major Collector,31.446368,-82.376793,2023,490,Actual,,,,,0.1041,0.52,730,Short Term
"005-0236",5R : Rural Major Collector,31.483485,-82.421448,2023,840,Estimated,,,,,0.1118,0.8,1060,Short Term
"005-0240",5R : Rural Major Collector,31.519791,-82.444542,2023,1010,Estimated,,,,,0.0967,0.53,1270,Short Term
"005-0243",5R : Rural Major Collector,31.530948,-82.459261,2023,2230,Estimated,,,,,0.1757,0.53,3490,Short Term
"005-0245",5R : Rural Major Collector,31.538943,-82.468388,2023,3800,Actual,284,143,0.738,0.316,0.1022,0.54,4790,Short Term
"005-0247",5R : Rural Major Collector,31.436147,-82.420546,2023,350,Actual,,,,,0.127,0.66,540,Short Term
"005-0249",5R : Rural Major Collector,31.471673,-82.372316,2023,530,Estimated,42,50,1.217,1.014,0.0933,0.54,900,Short Term
"005-0251",5R : Rural Major Collector,31.545872,-82.468714,2023,1510,Actual,101,26,0.463,0.132,0.1092,0.53,1900,Short Term
"005-0253",5R : Rural Major Collector,31.552375,-82.467050,2023,1000,Actual,82,27,0.729,0.273,0.1099,0.63,1260,Short Term
"005-0255",5R : Rural Major Collector,31.484209,-82.560417,2023,320,Estimated,21,7,0.318,0.636,0.1208,0.66,490,Short Term
"005-0257",5R : Rural Major Collector,31.499344,-82.316045,2023,250,Estimated,,,,,,,320,Short Term
"005-8003",7R : Rural Local,31.526000,-82.282100,2023,40,Estimated,,,,,,,50,Short Term
"005-8009",7R : Rural Local,31.574414,-82.607868,2023,250,Estimated,,,,,0.1166,0.8,320,Short Term
"005-8015",7R : Rural Local,31.561693,-82.502365,2023,390,Estimated,,,,,0.1237,0.57,710,Short Term
"005-8023",7R : Rural Local,31.545514,-82.476522,2023,120,Estimated,,,,,0.1528,0.63,150,Short Term
"005-8026",6R : Rural Minor Collector,31.460832,-82.454930,2023,380,Estimated,15,13,0.036,0.032,0.1003,0.53,480,Short Term
"005-8027",6R : Rural Minor Collector,31.464608,-82.447898,2023,550,Estimated,36,75,0.75,0.563,0.1013,0.8,690,Short Term
"005-8028",6R : Rural Minor Collector,31.474893,-82.498760,2023,290,Estimated,25,7,1.506,0,0.1054,0.5,370,Short Term
"005-8029",6R : Rural Minor Collector,31.493745,-82.499626,2023,330,Estimated,27,22,0.059,0.066,0.1201,0.52,460,Short Term
"005-8030",6R : Rural Minor Collector,31.607488,-82.573597,2023,400,Estimated,34,11,0.534,0.267,0.1148,0.53,720,Short Term
"005-8032",7R : Rural Local,31.633431,-82.592481,2023,40,Estimated,2,2,2.632,0,0.1316,0.8,60,Short Term
"005-8034",6R : Rural Minor Collector,31.672800,-82.465400,2023,160,Estimated,,,,,,,200,Short Term
"005-8035",6R : Rural Minor Collector,31.532850,-82.286590,2023,140,Estimated,12,8,1.504,1.504,0.1203,0.8,190,Short Term
"005-8036",7R : Rural Local,31.551536,-82.477316,2023,1580,Estimated,74,31,0.039,0.02,0.1397,0.52,1990,Short Term
"007-0101",4R : Rural Minor Arterial,31.135951,-84.519135,2023,980,Actual,109,104,0.095,0.106,0.0947,0.65,1370,Short Term
"007-0105",5R : Rural Major Collector,31.241009,-84.526824,2023,110,Estimated,24,10,3.848,0.962,0.1732,0.56,140,Short Term
